term,polarity,pos_n,neu_n,neg_n,top_category
最喜欢的,正面,1,0,0,整体
最垃圾,负面,0,0,2,整体
最好用,正面,2,0,0,整体
最实惠,正面,1,0,0,价格
最实汇的,正面,1,0,0,价格
最差,负面,0,0,2,整体
最差的,负面,0,0,1,整体
有一定的,正面,1,0,0,功效
有一点提亮肤色,正面,1,0,0,功效
有一点点干,中性,0,1,0,使用体验
有一点点痒,负面,0,0,1,使用体验
有一点点白,中性,0,1,0,功效
有一点白,中性,0,1,0,功效
有些失望,负面,0,0,1,整体
有些干,负面,0,0,1,使用体验
有些油,负面,0,0,1,使用体验
有些粘腻,负面,0,0,1,使用体验
有些黏腻,负面,0,0,1,使用体验
有优势,正面,1,0,0,价格
有保湿效果,正面,1,0,0,功效
有光泽,正面,1,0,0,功效
有提亮,正面,1,0,0,功效
有提亮的效果,正面,1,0,0,功效
有档次,正面,1,0,0,包装
有泡沫,正面,1,0,0,使用体验
有淡斑效果,正面,1,0,0,功效
有点假白,负面,0,0,1,功效
有点儿掉妆,负面,0,0,1,使用体验
有点刺鼻,负面,0,0,1,气味
有点卡粉,负面,0,0,3,使用体验
有点厚重,中性,0,1,0,使用体验
有点发干,负面,0,0,1,使用体验
有点味道,负面,0,0,2,气味
有点坑,负面,0,0,1,物流
有点多,负面,0,0,1,使用体验
有点大,负面,0,0,1,气味
有点太香,负面,0,0,1,气味
有点失望,负面,0,0,3,整体
有点小,负面,0,1,2,尺寸
有点小贵,负面,0,0,4,价格
有点少,负面,0,0,1,尺寸
有点干,负面,0,0,12,使用体验
有点慢,正面,2,0,1,物流
有点暗,正面,1,0,0,功效
有点油,负面,1,1,2,使用体验
有点滑,中性,0,1,0,使用体验
有点滑滑的,中性,0,1,0,使用体验
有点火辣辣的,负面,0,0,1,使用体验
有点点,中性,0,1,0,气味
有点点油,负面,0,0,1,使用体验
有点点膳,负面,0,0,1,气味
有点点过敏,负面,0,0,1,使用体验
有点疼,负面,0,0,1,使用体验
有点痒,负面,0,0,1,使用体验
有点白,中性,1,2,2,功效
有点硬,负面,0,0,1,使用体验
有点稠,中性,0,1,0,使用体验
有点简陋,负面,0,0,1,包装
有点紧绷,负面,0,0,1,使用体验
有点胶味,负面,0,0,1,气味
有点脱皮,正面,1,0,0,使用体验
有点薄,负面,0,0,1,使用体验
有点香,正面,1,0,1,气味
有点麻烦,负面,0,0,1,使用体验
有点黏,负面,0,0,1,使用体验
有点黏黏,中性,0,1,0,使用体验
有点黑,负面,0,0,1,功效
有美白效果,正面,1,0,0,功效
有香味,正面,1,0,1,气味
服帖,正面,13,0,0,使用体验
服贴,正面,1,0,0,使用体验
杠杠滴,正面,3,0,0,功效
杠杠的,正面,5,0,0,整体
松的,正面,1,0,0,包装
极差,负面,0,0,2,服务
柔软,正面,2,0,0,使用体验
棒,正面,3,0,0,物流
棒极了,正面,1,0,0,整体
棒棒,正面,1,0,0,整体
棒棒哒,正面,23,0,0,整体
棒棒的,正面,3,0,0,整体
欺骗,负面,0,0,1,服务
欺骗顾客,负面,0,0,1,整体
正,正面,1,0,0,其他
正不正品,中性,0,1,0,真伪
正合适,正面,1,0,0,功效
正品,正面,38,0,1,真伪
正品保证,正面,1,0,0,真伪
正好,正面,2,0,0,功效
比想像的要好,正面,1,0,0,功效
比较丰富,正面,1,0,0,成分
比较优惠,正面,2,0,0,价格
比较保湿,正面,2,0,0,功效
比较信得过,正面,1,0,0,整体
比较划算,正面,3,0,0,价格
比较厉害,负面,0,0,1,使用体验
比较厚重,中性,0,2,0,使用体验
比较合适,正面,1,0,0,整体
比较喜欢,正面,2,0,0,整体
比较均匀,正面,1,0,0,功效
比较多,正面,1,0,0,成分
比较好,正面,5,0,0,使用体验
比较好推开,正面,1,0,0,使用体验
比较好携带,正面,1,0,0,包装
比较好涂开,正面,1,0,0,使用体验
比较好用,正面,6,0,0,整体
比较好看,正面,1,0,0,功效
比较实惠,正面,1,0,0,价格
比较少,负面,0,0,1,其他
比较干,负面,0,1,1,使用体验
比较干净,正面,2,0,0,功效
比较快,正面,2,0,0,物流
比较慢,负面,0,0,1,物流
比较方便,正面,1,0,0,使用体验
比较旧,负面,0,0,1,新鲜度
比较显白,正面,1,0,0,功效
比较有气色,正面,1,0,0,使用体验
比较服帖,正面,2,0,0,使用体验
比较水润,正面,1,0,0,使用体验
比较油,负面,0,0,1,使用体验
比较油腻,负面,0,0,1,使用体验
比较浓郁,负面,0,0,1,气味
比较清爽,正面,2,0,0,使用体验
比较温和,正面,3,0,0,使用体验
比较滋润,正面,2,0,0,使用体验
比较满意,正面,4,0,0,整体
比较硬,负面,0,0,1,包装
比较自然,正面,3,0,0,功效
比较补水,正面,1,0,0,功效
比较贴合,正面,1,0,0,使用体验
比较费,负面,0,0,1,价格
比较赞的,正面,1,0,0,整体
比较轻薄,正面,1,0,0,使用体验
比较近,负面,0,0,1,新鲜度
比较适合,正面,2,0,0,整体
比较重,负面,0,0,1,气味
比较高,正面,2,0,0,价格
气色很好,正面,1,0,0,使用体验
水份多多,正面,1,0,0,使用体验
水份很多,正面,1,0,0,使用体验
水分还可以,正面,1,0,0,使用体验
水嫩,正面,1,0,0,使用体验
水嫩嫩的,正面,1,0,0,使用体验
水嫩的,正面,1,0,0,使用体验
水水嫩嫩的,正面,5,0,0,使用体验
水水润润,正面,2,0,0,使用体验
水水润润的,正面,2,0,0,使用体验
水水的,正面,7,0,0,使用体验
水润,正面,10,0,0,使用体验
水润润的,正面,2,0,0,使用体验
水润皮肤,正面,1,0,0,使用体验
水漏了,负面,0,0,1,包装
水灵灵,正面,1,0,0,使用体验
没,负面,0,0,2,价格
没什么,负面,0,0,1,使用体验
没什么突出的,中性,0,1,0,功效
没什么过敏,正面,1,0,0,使用体验
没什么问题,正面,1,0,0,功效
没以前好用,负面,0,0,1,整体
没得说,正面,2,0,0,物流
没心情了,负面,0,0,1,包装
没感觉到,负面,0,0,1,功效
没收到,正面,1,0,0,价格
没有,负面,1,0,9,包装
没有人理会,负面,0,0,1,服务
没有什么不良反应,正面,1,0,0,使用体验
没有介绍的那么遮盖红血丝,负面,0,0,1,功效
没有便宜很多,负面,0,0,1,价格
没有免邮券,负面,0,0,1,价格
没有出现过敏,正面,1,0,0,使用体验
没有刺激感,正面,1,0,0,使用体验
没有原来美好,中性,0,1,0,价格
没有多大效果,中性,0,1,0,整体
没有多少,负面,0,0,1,成分
没有太大感觉,负面,0,0,1,功效
没有密封口,负面,0,0,1,包装
没有干粉,正面,1,0,0,使用体验
没有感觉,负面,0,0,1,功效
没有损坏,正面,1,0,0,包装
没有浮粉,正面,2,0,0,使用体验
没有破损,正面,3,0,0,包装
没有紧绷感,正面,4,0,0,使用体验
没有美白,中性,0,1,0,功效
没有说的那么保湿,负面,0,0,1,功效
没有过敏,正面,5,0,0,使用体验
没有过敏不适,正面,1,0,0,使用体验
没有过敏反应,正面,1,0,0,使用体验
没有过敏现象,正面,1,0,0,使用体验
没有那么强,正面,1,0,0,功效
没有那么润,负面,0,0,1,使用体验
没毛病,正面,3,0,0,整体
没洗干净,负面,0,0,1,使用体验
没用,负面,0,0,1,整体
没看出来,中性,0,1,0,功效
没让人失望,正面,1,0,0,整体
没话说,正面,2,0,0,物流
没过敏,正面,1,0,0,使用体验
没那么好用,负面,0,0,1,整体
没错,正面,1,0,0,气味
没问题,正面,2,0,0,功效
油,负面,0,0,2,使用体验
油亮亮的,负面,0,0,1,使用体验
油亮油亮,负面,0,0,1,使用体验
油而不腻,正面,1,0,0,使用体验
油腻腻的,负面,0,0,1,使用体验
泛油光,中性,0,1,0,使用体验
泛白,负面,0,0,1,使用体验
泡泡多,正面,1,0,0,使用体验
洗不净,负面,0,0,3,使用体验
洗不干净,负面,0,0,1,功效
洗干净,正面,1,0,0,功效
洗得干净,正面,1,0,0,功效
洗的干净,正面,1,0,0,功效
活动价,正面,1,0,0,价格
浓浓的,负面,0,0,1,气味
浪费钱,负面,0,0,1,整体
浮了,负面,0,0,1,使用体验
浮粉,负面,1,0,4,使用体验
涂抹均匀,正面,1,0,0,使用体验
消下去,正面,1,0,0,使用体验
润,正面,1,0,0,使用体验
润泽,正面,1,0,0,使用体验
润润的,正面,4,0,0,使用体验
润色效果,正面,1,0,0,功效
淡淡得,正面,1,0,0,气味
淡淡的,正面,25,1,0,气味
淡淡的清香,正面,1,0,0,气味
淡淡的香味,正面,2,0,0,气味
清凉,正面,2,0,0,使用体验
清新,正面,4,0,0,气味
清洁,正面,3,0,0,功效
清清爽爽的,正面,1,0,0,使用体验
清澈,正面,1,0,0,使用体验
清爽,正面,9,0,0,使用体验
清爽爽的,正面,1,0,0,使用体验
清薄,正面,1,0,0,使用体验
清透,正面,2,0,0,使用体验
清香,正面,3,0,0,气味
清香型,正面,1,0,0,气味
渣货,负面,0,0,1,整体
温和,正面,7,0,0,使用体验
温和不刺激,正面,2,0,0,使用体验
温和性的,正面,1,0,0,使用体验
温和的,正面,1,0,0,使用体验
湿润,正面,4,0,0,使用体验
湿湿润润的,正面,1,0,0,使用体验
滋润,正面,14,0,0,使用体验
滑滑的,正面,15,0,2,使用体验
满分,正面,2,0,0,整体
满喜欢的,正面,1,0,0,整体
满好的,正面,1,0,0,功效
满意,正面,28,0,0,整体
满水润的,正面,1,0,0,使用体验
满满,正面,1,0,0,成分
漂亮,正面,4,0,0,包装
漏了,负面,0,0,1,包装
漏水,负面,0,0,1,包装
炒鸡划算,正面,1,0,0,价格
炒鸡棒棒,正面,1,0,0,整体
点个赞,正面,1,0,0,物流
点赞,正面,7,0,0,物流
烂东西,负面,0,0,1,整体
热心,正面,2,0,0,服务
爱不释手,正面,1,0,0,整体
爽,正面,1,0,0,整体
物有所值,正面,7,0,0,整体
物美价廉,正面,40,0,0,价格
物超所值,正面,6,0,0,整体
特价,正面,1,0,0,价格
特划算,正面,1,0,0,价格
特别不愉快,负面,0,0,1,服务
特别便宜,正面,1,0,0,价格
特别合算,正面,2,0,0,价格
特别喜欢,正面,6,0,0,整体
特别多,正面,4,0,0,成分
特别好,正面,26,0,0,功效
特别好用,正面,15,0,0,整体
特别好闻,正面,1,0,0,气味
特别实惠,正面,3,0,0,价格
特别少,负面,0,0,1,其他
特别干净,正面,1,0,0,功效
特别快,正面,10,0,0,物流
特别服帖,正面,1,0,0,使用体验
特别棒,正面,1,0,0,功效
特别水嫩,正面,1,0,0,使用体验
特别水润,正面,1,0,0,使用体验
特别油油,负面,0,0,1,使用体验
特别温和,正面,3,0,0,使用体验
特别湿润,正面,1,0,0,使用体验
特别滋润,正面,3,0,0,使用体验
特别满意,正面,1,0,0,整体
特别特别划算,正面,1,0,0,价格
特别特别给力,正面,1,0,0,物流
特别的好,正面,2,0,0,整体
特别的好用,正面,1,0,0,整体
特别的干,负面,0,0,1,使用体验
特别细腻,正面,1,0,0,使用体验
特别给力,正面,2,0,0,物流
特别自然,正面,2,0,0,功效
特别舒服,正面,1,0,0,使用体验
特别薄,正面,1,0,0,使用体验
特别补水,正面,2,0,0,功效
特别软,中性,0,1,0,包装
特喜欢,正面,2,0,0,整体
特好,正面,1,0,0,功效
甜美,正面,1,0,0,气味
用着好,正面,1,0,0,整体
用着很好,正面,1,0,0,整体
用着舒服,正面,1,0,0,使用体验
用量少,正面,1,0,0,使用体验
略带香味,正面,1,0,0,气味
痒,负面,0,0,2,使用体验
白,正面,1,0,0,功效
白了一个度,正面,1,0,0,功效
白了一点点,中性,0,1,0,功效
白嫩,正面,1,0,0,使用体验
白白嫩嫩的,正面,1,0,0,使用体验
白白的,正面,1,0,0,功效
白白透透的,正面,1,0,0,功效
白的不自然,负面,0,0,1,功效
白的很自然,正面,1,0,0,功效
白的自然,正面,3,0,0,功效
白皙,正面,2,0,0,功效
皮肤亮亮的,正面,1,0,0,功效
皮肤亮白,正面,1,0,0,功效
相似,正面,1,0,0,气味
相当不错,正面,2,0,0,整体
相当实惠,正面,1,0,0,价格
相当的便宜,正面,1,0,0,价格
相当的满意,正面,1,0,0,服务
省钱,正面,1,0,0,价格
看起来不错,正面,1,0,0,整体
真不是盖的,正面,1,0,0,物流
真不错,正面,4,0,0,整体
真品,正面,1,0,0,真伪
真品牌,正面,1,0,0,真伪
真喜欢,正面,1,0,0,整体
真好,正面,1,0,0,物流
真实,正面,1,0,0,功效
真心不好用,负面,0,0,1,整体
真心不错,正面,8,0,0,整体
真心划算,正面,1,0,0,价格
真心好用,正面,2,0,0,整体
真快,正面,4,0,0,物流
真是快,正面,1,0,0,物流
真是神速,正面,1,0,0,物流
真没看出来,负面,0,0,1,功效
真的,正面,1,0,0,真伪
真的不错,正面,5,0,0,整体
真的优惠,正面,1,0,0,价格
真的可以,正面,1,0,0,功效
真的好,正面,2,0,0,功效
真的好用,正面,6,0,0,整体
真的很一般,负面,0,0,1,整体
真的很不错,正面,2,0,0,整体
真的很好,正面,3,0,0,整体
真的很快,正面,2,0,0,物流
真的很快呀,正面,1,0,0,物流
真的很耐斯,正面,1,0,0,整体
真的忙,负面,0,0,1,服务
真的快,正面,1,0,0,物流
真高,正面,1,0,0,价格
破了,负面,0,0,2,包装
确实不错,正面,2,0,0,整体
确实很好,正面,1,0,0,整体
确实挺白的,正面,1,0,0,功效
碎了,负面,0,0,1,物流
神速,正面,5,0,0,物流
稍微偏硬,负面,0,0,1,使用体验
稍微干燥,负面,0,0,1,使用体验
稍微暗一点,负面,0,0,1,功效
稍微有点干,中性,0,1,0,使用体验
稍微有点提亮,负面,0,0,1,功效
稍微白一点,中性,0,1,0,包装
稍微过敏,负面,0,0,1,使用体验
简陋,负面,0,0,2,包装
粉浮着,中性,0,1,0,使用体验
粉粉的,正面,2,0,0,包装
粗糙,负面,0,0,1,包装
粘稠,正面,1,0,0,使用体验
粘稠些,正面,1,0,0,使用体验
精美,正面,7,0,0,包装
精致,正面,1,0,0,包装
红肿,负面,0,0,1,使用体验
细,正面,1,0,0,使用体验
细滑,正面,1,0,0,使用体验
细腻,正面,17,0,0,使用体验
细致,正面,1,0,0,使用体验
经济,正面,7,0,0,价格
经济又实惠,正面,1,0,0,价格
经济实惠,正面,1,0,0,价格
给个好评,正面,1,0,0,物流
给个赞,正面,1,0,0,整体
给了,正面,1,0,0,物流
给力,正面,18,0,0,物流
给赞,正面,1,0,0,整体
绝对正品,正面,2,0,0,真伪
美丽,正面,2,0,0,价格
美白,正面,5,0,0,功效
美美哒,正面,6,0,0,整体
美美的,正面,2,0,0,整体
老搓泥,负面,0,0,1,使用体验
耐心,正面,1,0,0,服务
肤色好好,正面,1,0,0,使用体验
肤色很亮,正面,1,0,0,功效
能修复皮肤,正面,1,0,0,功效
能接受,正面,3,0,0,价格
能遮暇,正面,1,0,0,功效
自然,正面,21,0,0,功效
自然白,正面,1,0,0,功效
自然美,正面,1,0,0,功效
舒服,正面,1,0,0,使用体验
良好,正面,1,0,0,整体
薄,正面,1,0,0,使用体验
薄点,正面,1,0,0,使用体验
薄薄的,正面,3,0,0,使用体验
薄透,正面,2,0,0,使用体验
蛮不错,正面,1,0,0,整体
蛮不错的,正面,2,0,0,整体
蛮喜欢的,正面,1,0,0,整体
蛮多,正面,1,0,0,成分
蛮多的,正面,1,0,0,其他
蛮好,正面,4,0,0,整体
蛮好用,正面,2,0,0,整体
蛮好用的,正面,3,0,0,整体
蛮好的,正面,7,0,0,整体
蛮好闻,正面,1,0,0,气味
蛮快的,正面,1,0,0,物流
蛮白的,正面,1,0,0,功效
蛮自然的,正面,1,0,0,功效
蛮补水的,正面,1,0,0,功效
蛮轻薄的,正面,2,0,0,使用体验
补水,正面,14,0,0,功效
补水多了,正面,1,0,0,功效
补水的,正面,1,0,0,功效
补湿,正面,1,0,0,功效
补补水,正面,1,0,0,功效
被骗了,负面,0,0,1,整体
要低得多,正面,1,0,0,价格
调节肤色,正面,1,0,0,功效
货真价值,正面,1,0,0,整体
货真价实,正面,1,0,0,整体
质优价廉,正面,1,0,0,价格
贴个面部,正面,1,0,0,使用体验
贴合皮肤,正面,1,0,0,使用体验
贴肤,正面,1,0,0,使用体验
贴装,正面,1,0,0,使用体验
贵,负面,0,0,1,价格
贵了,负面,0,0,1,价格
赞,正面,11,0,0,整体
赞一下,正面,2,0,0,整体
赞一个,正面,2,0,0,整体
赞赞,中性,0,1,0,整体
起痘,负面,0,0,1,使用体验
起皮,负面,0,0,2,使用体验
超值,正面,5,0,0,价格
超值的,正面,2,0,0,价格
超出预期,正面,1,0,0,整体
超划算,正面,2,0,0,价格
超合算,正面,1,0,0,价格
超喜欢,正面,8,0,0,整体
超喜欢的,正面,2,0,0,整体
超好,正面,3,0,0,功效
超好用,正面,8,0,0,整体
超实惠,正面,1,0,0,价格
超快,正面,20,0,0,物流
超快的,正面,1,0,0,物流
超极好,正面,1,0,0,整体
超水润,正面,1,0,0,使用体验
超清爽的,正面,1,0,0,使用体验
超满意,正面,1,0,0,整体
超神速,正面,1,0,0,物流
超级优惠,正面,1,0,0,价格
超级值得,正面,1,0,0,价格
超级划算,正面,9,0,0,价格
超级合适,正面,1,0,0,价格
超级喜欢,正面,10,0,0,整体
超级多,正面,1,0,0,整体
超级好,正面,5,0,0,整体
超级好用,正面,19,0,0,整体
超级实惠,正面,1,0,0,价格
超级差,负面,0,0,2,使用体验
超级快,正面,5,0,0,物流
超级服帖,正面,3,0,0,使用体验
超级棒,正面,2,0,0,服务
超级滋润,正面,1,0,0,使用体验
超级满意,正面,1,0,0,整体
超级给力,正面,2,0,0,物流
超级补水,正面,3,0,0,功效
超级速度,正面,1,0,0,物流
超级难用,负面,0,0,1,整体
超补水,正面,3,0,0,功效
超赞,正面,4,0,0,整体
超足,正面,1,0,0,使用体验
越来越高了,负面,0,0,1,价格
足,正面,2,0,0,成分
跟强,正面,1,0,0,功效
跟服帖,正面,1,0,0,使用体验
跟舒服,正面,1,0,0,整体
跟补水,正面,1,0,0,功效
轻微酒精味,中性,0,1,0,气味
轻薄,正面,11,0,0,使用体验
较便宜,正面,1,0,0,价格
较温和,正面,1,0,0,使用体验
较难清洗,负面,0,0,1,使用体验
较高,正面,2,0,0,价格
辛苦了,正面,1,0,0,物流
辣眼睛,负面,0,0,2,使用体验
辣脸,负面,0,0,1,使用体验
迅速,正面,5,0,0,物流
过于多了,负面,0,0,1,使用体验
过得去,正面,1,0,0,整体
过敏,负面,0,0,2,使用体验
过敏了,负面,1,0,2,使用体验
过期,负面,0,0,1,新鲜度
近期,负面,0,0,1,新鲜度
还OK,正面,1,0,0,整体
还不知道,中性,0,1,0,功效
还不错,正面,163,0,0,整体
还不错啦,正面,1,0,0,整体
还不错的,正面,2,0,0,整体
还保湿,正面,1,0,0,功效
还可以,正面,143,4,0,整体
还可以吧,正面,1,0,0,整体
还喜欢,正面,1,0,0,整体
还好,正面,29,1,0,整体
还好吧,正面,9,0,0,整体
还挺划算的,正面,1,0,0,价格
还挺多的,正面,1,0,0,整体
还挺好,正面,1,0,0,整体
还挺好用的,正面,1,0,0,整体
还挺好的,正面,2,0,0,整体
还挺省,正面,1,0,0,其他
还挺香的,正面,1,0,0,气味
还是不错的,正面,5,0,0,整体
还是干,负面,0,0,1,使用体验
还是紧绷,负面,0,0,1,使用体验
还算可以,正面,1,0,0,功效
还算实惠,正面,1,0,0,价格
还蛮快,正面,1,0,0,物流
还行,正面,51,3,0,整体
还行吧,正面,10,1,0,整体
还行的,正面,1,0,0,功效
这么便宜,正面,2,0,0,价格
这么快,正面,1,0,0,物流
连连的,负面,0,0,1,使用体验
送货到家,正面,1,0,0,物流
适中,正面,2,0,0,使用体验
适合,正面,2,0,0,整体
透亮,正面,1,0,0,使用体验
透气,正面,3,0,0,使用体验
通透,正面,1,0,0,使用体验
速度快,正面,2,0,0,物流
遮不住什么,负面,0,0,1,功效
遮暇,正面,2,0,0,功效
遮瑕,正面,2,0,0,功效
遮红血丝,正面,1,0,0,功效
遮黄气暗沉,正面,1,0,0,功效
那么白,负面,0,0,1,功效
那么重,中性,0,1,0,气味
都是胶,负面,0,0,1,使用体验
都没有,负面,0,0,1,包装
都说好,正面,1,0,0,整体
酸酸的,负面,0,0,1,气味
重,负面,0,0,1,气味
量也多,正面,1,0,0,其他
量也大,正面,1,0,0,其他
量又足,正面,1,0,0,其他
量大,正面,2,0,0,其他
量大耐用,正面,1,0,0,其他
量很足,正面,1,0,0,其他
量比大,正面,1,0,0,其他
量足,正面,1,0,0,其他
长痘,负面,0,0,2,使用体验
闷痘,负面,0,0,1,使用体验
闻着不错,正面,1,0,0,气味
降价,负面,0,0,2,价格
隔离,正面,1,0,0,功效
难推开,负面,0,0,1,使用体验
难用,负面,0,0,1,整体
非常不错,正面,24,0,0,整体
非常公道,正面,1,0,0,价格
非常划算,正面,1,0,0,价格
非常合适,正面,2,0,0,价格
非常喜欢,正面,23,0,0,整体
非常失望,负面,0,0,1,整体
非常好,正面,73,0,0,整体
非常好用,正面,35,0,0,整体
非常好闻,正面,1,0,0,气味
非常实惠,正面,1,0,0,价格
非常差,负面,0,0,1,整体
非常开心,正面,1,0,0,整体
非常强,正面,1,0,0,物流
非常彻底,正面,1,0,0,功效
非常快,正面,9,0,0,物流
非常服帖,正面,1,0,0,使用体验
非常棒,正面,6,0,0,整体
非常温和,正面,1,0,0,使用体验
非常滋润,正面,2,0,0,使用体验
非常满意,正面,27,0,0,整体
非常的不好,负面,0,0,1,整体
非常的不错,正面,1,0,0,整体
非常的好用,正面,1,0,0,整体
非常的实惠,正面,1,0,0,价格
非常的快,正面,1,0,0,物流
非常的服帖,正面,1,0,0,使用体验
非常的香,正面,1,0,0,气味
非常给力,正面,3,0,0,物流
非常自然,正面,1,0,0,功效
非常舒服,正面,4,0,0,使用体验
非常舒适,正面,1,0,0,整体
非常补水,正面,2,0,0,功效
非常足,正面,1,0,0,成分
非常速度,正面,1,0,0,物流
非常香,正面,1,0,0,气味
靠谱,正面,1,0,0,价格
颜色相近,正面,1,0,0,功效
飞快,正面,2,0,0,物流
香,正面,1,0,0,气味
香香的,正面,9,0,0,气味
骗人的,负面,0,0,1,整体
高,正面,9,0,0,价格
高大上,正面,1,0,0,包装
高很多,正面,1,0,0,价格
高档,正面,1,0,0,包装
黏黏的,负面,0,0,1,使用体验
黏黏糊糊,负面,0,0,1,使用体验
