id,Reviews,clean_text,tokens
381,很讨厌有一片面膜破了，水漏了一袋子,很讨厌有一片面膜破了 水漏了一袋子,很讨厌 有 一片 面膜 破了 水漏了 一 袋子
382,孩子喜欢这款洗面奶，活动价买的，划算,孩子喜欢这款洗面奶 活动价买的 划算,孩子 喜欢 款 洗面奶 活动价 买 划算
383,这是回购的，用着很不错，水乳用的也是***，真的挺好。,这是回购的 用着很不错 水乳用的也是 某品牌 真的挺好,这是 回购 用 很不错 水乳用 某品牌 真的 挺好
384,第二次购买了，很好用，味道也好，有意向的可以下手了,第二次购买了 很好用 味道也好 有意向的可以下手了,第二次 购买 很好用 味道 也好 有 意向 可以 下手
385,感觉应该不是正品，我在商场买的包装袋外面有一层保护膜，网上买的保护膜都没有,感觉应该不是正品 我在商场买的包装袋外面有一层保护膜 网上买的保护膜都没有,感觉 应该 不是正品 商场 买 包装袋 外面 有 一层 保护膜 网上 买 保护膜 都没有
386,面膜很好用，用完再回购,面膜很好用 用完再回购,面膜 很好用 用 完 回购
387,不错价格实惠,不错价格实惠,不错 价格 实惠
388,面膜很润，很柔暖，敷了两次了，感觉还可以,面膜很润 很柔暖 敷了两次了 感觉还可以,面膜 很润 很柔暖 敷 两次 感觉 还可以
389,用了，还不错，果冻的质地还可以。面膜是布制的，洗洗可以当抹布或者小毛巾什么的，也挺环保。可以的,用了 还不错 果冻的质地还可以 面膜是布制的 洗洗可以当抹布或者小毛巾什么的 也挺环保 可以的,用 还不错 果冻 质地 还可以 面膜 布制 洗洗 可以 当 抹布 小 毛巾 挺环保 可以的
390,给老婆买的，这个用着挺好,给老婆买的 这个用着挺好,老婆 买 用 挺好
391,很好用，和实体店的质量一样的，第一次网购这个品牌的粉底液，BB霜，下次有机会肯定还会继续购买,很好用 和实体店的质量一样的 第一次网购这个品牌的粉底液 BB霜 下次有机会肯定还会继续购买,很好用 实体店 质量 一样 第一次 网购 品牌 粉底液 BB霜 下次 有 机会 肯定 还会 继续 购买
392,是正品，跟店里的一样，用了几片了，感觉效果挺好。,是正品 跟店里的一样 用了几片了 感觉效果挺好,是正品 跟 店里 一样 用 几片 感觉 效果 挺好
393,用着非常好，我很喜欢。棒棒的。,用着非常好 我很喜欢 棒棒的,用 非常好 很喜欢 棒棒的
394,使用过这个牌子的化妆品，还可以，**配送很给力，五分好评,使用过这个牌子的化妆品 还可以 某品牌 配送很给力 五分好评,使用 牌子 化妆品 还可以 某品牌 配送 很给力 五分好评
395,一直都钟爱的牌子，适合自己最重要,一直都钟爱的牌子 适合自己最重要,一直 钟爱 牌子 适合 最 重要
396,一直用这个产品很喜欢,一直用这个产品很喜欢,一直用 产品 很喜欢
397,第一次用，用着还不错，稍微有点改变，不过有点干。,第一次用 用着还不错 稍微有点改变 不过有点干,第一次 用 用 还不错 稍微 有点 改变 有点干
398,感觉可以，很好涂抹，味道也喜欢。,感觉可以 很好涂抹 味道也喜欢,感觉 可以 很好涂抹 味道 喜欢
399,包装盒压扁了，快递很负责的让我打开看看有没有破损，第一次用这个牌子的护肤品，好用会回购的,包装盒压扁了 快递很负责的让我打开看看有没有破损 第一次用这个牌子的护肤品 好用会回购的,包装盒 压扁了 快递 很负责 打开 看看 有没有 破损 第一次 用 牌子 护肤品 好用 会 回购
400,很好用，已经推荐给朋友了，自己也会回购,很好用 已经推荐给朋友了 自己也会回购,很好用 推荐 朋友 会 回购
401,面膜很好，物流也很快，用完了还继续买,面膜很好 物流也很快 用完了还继续买,面膜 很好 物流 很快 用 完 还 继续 买
402,服务超级棒 物流很快 东西也是正品 这次网购很高兴,服务超级棒 物流很快 东西也是正品 这次网购很高兴,服务 超级棒 物流 很快 东西 是正品 这次 网购 很高兴
403,第二天就送到了，马上试了下，不卡粉是我喜欢的,第二天就送到了 马上试了下 不卡粉是我喜欢的,第二天 送到 马上 试 下 不卡粉 喜欢的
404,很好，不错,很好 不错,很好 不错
405,卖家赠送的 非常好 喜欢,卖家赠送的 非常好 喜欢,卖家 赠送 非常好 喜欢
406,第一次使用气垫cc，果然比bb霜好用多了，很细腻，也很提亮肤色，，相当不错，**快递更是没得说,第一次使用气垫cc 果然比bb霜好用多了 很细腻 也很提亮肤色 相当不错 某品牌 快递更是没得说,第一次 使用 气垫 cc 果然 比 bb霜 好用 多 很细腻 很提亮肤色 相当不错 某品牌 快递 更是 没得说
407,不错是正品，价格有优势，快递也很给力，以后会继续购买,不错是正品 价格有优势 快递也很给力 以后会继续购买,不错 是正品 价格 有优势 快递 很给力 以后 会 继续 购买
408,买一送一很划算,买一送一很划算,买一送一 很划算
409,挺好的不错。多给我点点豆子吧。,挺好的不错 多给我点点豆子吧,挺好的 不错 多 点点 豆子
410,挺好的!用完再购！,挺好的 用完再购,挺好的 用 完 再购
411,不好用，*，不好用,不好用 不好用,不好用 不好用
412,好划算，还没用。看着还不错。69买一送一，加9.9在买一份一共60片。包装也挺好看的，可以用好久。,好划算 还没用 看着还不错 69买一送一 加9 9在买一份一共60片 包装也挺好看的 可以用好久,好划算 还 没用 看着 还不错 买一送一 加 买 一份 一共 片 包装 挺好看的 可以 用 好久
413,老婆自已挑的，希望满意！,老婆自已挑的 希望满意,老婆 自已 挑 希望满意
414,媳妇说挺实惠，送了两个备用,媳妇说挺实惠 送了两个备用,媳妇 说 挺实惠 送 两个 备用
415,超级好用，超级划算！！！购买N次一如既往地好！还会继续光顾！！！,超级好用 超级划算 购买N次一如既往地好 还会继续光顾,超级好用 超级划算 购买 次 一如既往 地好 还会 继续 光顾
416,本来就有一个又送一个，实际相当于三个。味道还可以,本来就有一个又送一个 实际相当于三个 味道还可以,本来 有 送 实际 相当于 三个 味道 还可以
417,个人干湿混合型，上妆比较滋润，相较其他遮瑕，没有那么强，比较轻薄。持久度还是挺ok的，,个人干湿混合型 上妆比较滋润 相较其他遮瑕 没有那么强 比较轻薄 持久度还是挺ok的,个人 干湿 混合型 上妆 比较滋润 相 较 其他 遮瑕 没有那么强 比较轻薄 持久度 还是 挺ok的
418,第六次购买了 面膜补水非常好 而且是超值装 清爽补水棒棒哒,第六次购买了 面膜补水非常好 而且是超值装 清爽补水棒棒哒,第六次 购买 面膜 补水 非常好 而且 超值 装 清爽 补水 棒棒哒
419,帮朋友下的单，问了朋友，说效果不错。,帮朋友下的单 问了朋友 说效果不错,帮 朋友 下 单 问 朋友 说 效果 不错
420,很好，很快，还会继续支持**。加油加油加油,很好 很快 还会继续支持 某品牌 加油加油加油,很好 很快 还会 继续 支持 某品牌 加油 加油 加油
421,又划算，又多这么多的面膜，可以用好长时间了，用过之后脸上滑滑的嫩嫩的喜欢,又划算 又多这么多的面膜 可以用好长时间了 用过之后脸上滑滑的嫩嫩的喜欢,又划算 多 这么 多 面膜 可以 用 好长时间 用过 之后 脸上 滑滑的 嫩嫩的 喜欢
422,感觉还可以，洗了脸不会紧绷，去油效果很好，用起来很舒服，泡泡多，味道清香，这个价格很划算。,感觉还可以 洗了脸不会紧绷 去油效果很好 用起来很舒服 泡泡多 味道清香 这个价格很划算,感觉 还可以 洗 脸 不会紧绷 去油效果 很好 用 起来 很舒服 泡泡多 味道 清香 价格 很划算
423,非常不错，泡沫细腻，味道很好闻，棒棒哒！,非常不错 泡沫细腻 味道很好闻 棒棒哒,非常不错 泡沫 细腻 味道 很好闻 棒棒哒
424,价格不贵，含量比较少，应该还不错挺好的,价格不贵 含量比较少 应该还不错挺好的,价格 不贵 含量 比较少 应该 还不错 挺好的
425,质量不错！老婆很喜欢！,质量不错 老婆很喜欢,质量 不错 老婆 很喜欢
426,双十一买的，便宜了不少呢，一直都在用这个牌子的面膜，很好用，非常喜欢,双十一买的 便宜了不少呢 一直都在用这个牌子的面膜 很好用 非常喜欢,双十一 买 便宜 不少 一直 用 牌子 面膜 很好用 非常喜欢
427,这个卸妆水很不错呀，并且买300ml的卸妆水，给了160ml的赠品卸妆水，赞！,这个卸妆水很不错呀 并且买300ml的卸妆水 给了160ml的赠品卸妆水 赞,卸妆水 很 不错呀 买 300ml 卸妆水 给了 160ml 赠品 卸妆水 赞
428,一般，感觉洗不干净,一般 感觉洗不干净,一般 感觉 洗不干净
429,送货速度很快，一直用***的护肤品，很好用。,送货速度很快 一直用 某品牌 的护肤品 很好用,送货速度 很快 一直用 某品牌 护肤品 很好用
430,平时也舍不得买，有活动才买,平时也舍不得买 有活动才买,平时 舍不得 买 有 活动 买
431,一直都用这个，第一次在网上买这个，味道闻起来是一样的，希望一样好用,一直都用这个 第一次在网上买这个 味道闻起来是一样的 希望一样好用,一直都用 第一次 网上 买 味道 闻 起来 一样 希望 一样 好用
432,温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以。,温和程度 很好 清洁效果 不错 控油效果 还行 泡沫丰富度 一般 保湿效果 挺可以,温和程度 很好 清洁效果 不错 控油效果 还行 泡沫丰富度 一般 保湿效果 挺可以
433,自己用着还不错，这个是送给妹妹的，挺好,自己用着还不错 这个是送给妹妹的 挺好,用 还不错 送给 妹妹 挺好
434,很不错，配送很快,很不错 配送很快,很不错 配送 很快
435,查了是正品放心使用，买了***的水乳，爽肤水，还有面霜，宝贝不错，可以用好几个月了。,查了是正品放心使用 买了 某品牌 的水乳 爽肤水 还有面霜 宝贝不错 可以用好几个月了,查 是正品 放心使用 买 某品牌 水乳 爽肤水 还有 面霜 宝贝 不错 可以 用 好几个 月
436,用后感觉挺好的。,用后感觉挺好的,用后 感觉 挺好的
437,还没用不知道怎么样，但是跟专柜的有区别，外面摸着特别软，专柜的外面摸着是有点硬度的,还没用不知道怎么样 但是跟专柜的有区别 外面摸着特别软 专柜的外面摸着是有点硬度的,还 没用 不 知道 怎么样 跟 专柜 有 区别 外面 摸 特别软 专柜 外面 摸 有点 硬度
438,物流真是快阿，物美价廉好评,物流真是快阿 物美价廉好评,物流 真是快 阿 物美价廉 好评
439,一点都没有遮暇效果，反正只能说不过敏吧,一点都没有遮暇效果 反正只能说不过敏吧,一点都没有 遮暇效果 反正 只能 说 不过敏
440,酒精味好浓,酒精味好浓,酒精味 好浓
441,超级好用，物美价廉,超级好用 物美价廉,超级好用 物美价廉
442,扫二维码查了是正品，朋友推荐的，用一段时间后再来评价。,扫二维码查了是正品 朋友推荐的 用一段时间后再来评价,扫 二维码 查 是正品 朋友 推荐 用 一段时间 后 来 评价
443,好用好用水润,好用好用水润,好用 好 用水 润
444,还没用，但很快就到了i,还没用 但很快就到了i,还 没用 很快 到
445,一直用的这个牌子，挺温和的水润，还送了小瓶的,一直用的这个牌子 挺温和的水润 还送了小瓶的,一直用 牌子 挺温和的 水润 还 送 小瓶
446,很好，需要还会再来,很好 需要还会再来,很好 需要 还会 来
447,还可以吧，不油不腻,还可以吧 不油不腻,还可以吧 不油不腻
448,不错哦。速度很快，~。以后就买****的了。,不错哦 速度很快 以后就买 某品牌 的了,不错哦 速度 很快 以后 买 某品牌
449,东西很好啊有活动时候买的也很划算 很好吃！**牛批,东西很好啊有活动时候买的也很划算 很好吃 某品牌 牛批,东西 很好 有 活动 时候 买 很划算 很 好吃 某品牌 牛批
450,一直用挺不错,一直用挺不错,一直用 挺不错
451,宝贝儿收到了，一切都好，我还担心会冻了，打开看了没冻心情美美哒，这款面膜保湿效果真的不错哦！,宝贝儿收到了 一切都好 我还担心会冻了 打开看了没冻心情美美哒 这款面膜保湿效果真的不错哦,宝贝儿 收到 一切 好 还 担心 会冻 打开 看 没冻 心情 美美哒 款 面膜 保湿效果 真的 不错哦
452,还可以吧就是涂在脸上有些干,还可以吧就是涂在脸上有些干,还可以吧 涂 脸上 有些干
453,个人情况：有点点酒精味，不过能接受，就不不知道用久了会不会对皮肤不太好,个人情况 有点点酒精味 不过能接受 就不不知道用久了会不会对皮肤不太好,个人 情况 有点点 酒精味 能接受 不 不 知道 用久 会 不会 对 皮肤 不太好
454,超级好用，物美价廉，效果也超级好。用了之后感觉皮肤明显变好。,超级好用 物美价廉 效果也超级好 用了之后感觉皮肤明显变好,超级好用 物美价廉 效果 超级好 用 之后 感觉 皮肤 明显 变 好
455,东西挺好用的，保湿度强,东西挺好用的 保湿度强,东西 挺好用的 保湿度 强
456,已扫码验过是正品??,已扫码验过是正品,已扫 码验 是正品
457,很香，保湿做好不会有卡粉浮粉现象。就是补妆要勤快些。呵呵,很香 保湿做好不会有卡粉浮粉现象 就是补妆要勤快些 呵呵,很香 保湿 做好 不会有 卡粉 浮粉现象 补妆要 勤快 呵呵
458,面膜超好用 实惠,面膜超好用 实惠,面膜 超好用 实惠
459,挺好的，用了以后还想用，下次还会购买,挺好的 用了以后还想用 下次还会购买,挺好的 用 以后 还 想 用 下次 还会 购买
460,这个品牌我用了10年了这次购买不是正品,这个品牌我用了10年了这次购买不是正品,品牌 我用 年 这次 购买 不是正品
461,很好不错非常喜欢下次再买,很好不错非常喜欢下次再买,很好 不错 非常喜欢 下次 买
462,面膜不错，水分精华很多，包装差劲，就一个透明带子装，没有包装盒，,面膜不错 水分精华很多 包装差劲 就一个透明带子装 没有包装盒,面膜 不错 水分 精华 很多 包装 差劲 透明 带子 装 没有 包装盒
463,超好用，完全可以用物美价廉四个字形容，已购两箱子备用。,超好用 完全可以用物美价廉四个字形容 已购两箱子备用,超好用 完全 可以 用 物美价廉 四个 字 形容 已购 两 箱子 备用
464,很好用，还会回购的。,很好用 还会回购的,很好用 还会 回购
465,一直在这家店购宝贝，现在这个季节涨价太多了,一直在这家店购宝贝 现在这个季节涨价太多了,一直 这家 店购 宝贝 现在 季节 涨价 太多了
466,方便快捷不错不错，最近活动不给力啊,方便快捷不错不错 最近活动不给力啊,方便快捷 不错不错 最近 活动 不给力
467,特别好 很好 非常好 很喜欢 特别实惠哈哈,特别好 很好 非常好 很喜欢 特别实惠哈哈,特别好 很好 非常好 很喜欢 特别实惠 哈哈
468,物流特别特别给力，卖家服务态度非常好?，用的好在光顾,物流特别特别给力 卖家服务态度非常好 用的好在光顾,物流 特别特别给力 卖家服务态度 非常好 用 好 光顾
469,还可以 水水的 就是不知道卸妆了没 化妆棉颜色也没啥变化,还可以 水水的 就是不知道卸妆了没 化妆棉颜色也没啥变化,还可以 水水的 不 知道 卸妆 没 化妆棉 颜色 没 啥 变化
470,遮瑕还好，就是太干,遮瑕还好 就是太干,遮瑕 还好 太干
471,很好用，很喜欢,很好用 很喜欢,很好用 很喜欢
472,很好的面膜，补水效果杠杠滴。我用的所有护肤品都是***的，老牌子值得信赖,很好的面膜 补水效果杠杠滴 我用的所有护肤品都是 某品牌 的 老牌子值得信赖,很好的 面膜 补水效果 杠杠滴 我用 所有 护肤品 某品牌 老牌子 值得信赖
473,补水效果特别好！好评！比实体店的价格优惠，物流也快！一直信赖**！还送了一个盒子！,补水效果特别好 好评 比实体店的价格优惠 物流也快 一直信赖 某品牌 还送了一个盒子,补水效果 特别好 好评 比 实体店 价格 优惠 物流 也快 一直信赖 某品牌 还 送 盒子
474,味道很喜欢，价格也很划算,味道很喜欢 价格也很划算,味道 很喜欢 价格 很划算
475,这都好几天了，快递还没有收到，,这都好几天了 快递还没有收到,好 几天 快递 还 没有 收到
476,买了好多好多送给婆婆，她很喜欢,买了好多好多送给婆婆 她很喜欢,买 好多好多 送给 婆婆 很喜欢
477,声明不是盗图，一下买了20片，却下了两个单?物流快，包装严实，???,声明不是盗图 一下买了20片 却下了两个单 物流快 包装严实,声明 不是 盗图 买 片 下 两个 单 物流 快 包装 严实
478,不错挺好，快递及时专业,不错挺好 快递及时专业,不错 挺好 快递 及时 专业
479,还可以吧，淡淡的味道，卸的也干净,还可以吧 淡淡的味道 卸的也干净,还可以吧 淡淡的 味道 卸 干净
480,补水效果不错，现在天气太冷，不敢用！,补水效果不错 现在天气太冷 不敢用,补水效果 不错 现在 天气 太冷 不敢用
481,泛白，不持妆，透气性也很一般，不推荐。,泛白 不持妆 透气性也很一般 不推荐,泛白 不持妆 透气性 很一般 不推荐
482,实惠，回购很多次了，速度很快，第二天就到了,实惠 回购很多次了 速度很快 第二天就到了,实惠 回购 很 多次 速度 很快 第二天 到
483,很好用用过好几次了清洁能力：清洗很容易,很好用用过好几次了清洁能力 清洗很容易,很好用 用过 好 几次 清洁能力 清洗 很容易
484,便宜实惠，凑单买的，好用的话再买！,便宜实惠 凑单买的 好用的话再买,便宜实惠 凑 单买 好用 的话 买
485,收到了，用着挺不错的,收到了 用着挺不错的,收到 用 挺不错的
486,这个卸妆水还可以，比我之前的好用！,这个卸妆水还可以 比我之前的好用,卸妆水 还可以 比 之前 好用
487,发错了，发一瓶霜！,发错了 发一瓶霜,发错 发 一瓶 霜
488,确认过鼻子，是我喜欢的味道，这个味道很熟悉，但就是说不上来是哪一种感觉,确认过鼻子 是我喜欢的味道 这个味道很熟悉 但就是说不上来是哪一种感觉,确认 鼻子 喜欢的 味道 味道 很熟悉 说不上来 一种 感觉
489,给女朋友买的，她说不好用很垃圾。让我给个差评。第一次给女朋友买化妆品类的东西就出现这种情况很忧伤。,给女朋友买的 她说不好用很垃圾 让我给个差评 第一次给女朋友买化妆品类的东西就出现这种情况很忧伤,女朋友 买 说 不好用 很垃圾 差评 第一次 女朋友 买 化妆品 类 东西 出现 这种 情况 很忧伤
490,整体还不错吧 就是没有我之前买的洗面奶好用 洗完脸之后有点滑 清洁效果一般般吧,整体还不错吧 就是没有我之前买的洗面奶好用 洗完脸之后有点滑 清洁效果一般般吧,整体 还不错 没有 之前 买 洗面奶 好用 洗完 脸 之后 有点滑 清洁效果 一般般吧
491,防晒效果怎么样一时真看不出来，但是成膜快，不假面，不油不闷痘。后续上底妆些许在眼皮挫泥，就酱,防晒效果怎么样一时真看不出来 但是成膜快 不假面 不油不闷痘 后续上底妆些许在眼皮挫泥 就酱,防晒效果 怎么样 一时 真 看不出来 成膜 快 不假面 不油 不 闷痘 后续 上底 妆 些许 眼皮 挫泥 酱
492,第二次购买了，用着还不错，挺补水的，还很便宜好评,第二次购买了 用着还不错 挺补水的 还很便宜好评,第二次 购买 用 还不错 挺补水的 还 很便宜 好评
493,**的物流超快的，隔天就收到了，点个赞。面膜挺好用的，补水效果不错，价格很实惠，棒棒哒！,某品牌 的物流超快的 隔天就收到了 点个赞 面膜挺好用的 补水效果不错 价格很实惠 棒棒哒,某品牌 物流 超快的 隔天 收到 点个赞 面膜 挺好用的 补水效果 不错 价格 很实惠 棒棒哒
494,赠送的，挺好的,赠送的 挺好的,赠送 挺好的
495,这款洗面奶会刺激皮肤，而且洗完后会紧绷,这款洗面奶会刺激皮肤 而且洗完后会紧绷,款 洗面奶 会 刺激皮肤 而且 洗完 后 会紧绷
496,**快递太给力了，昨天下单，今天收到,某品牌 快递太给力了 昨天下单 今天收到,某品牌 快递 太给力了 昨天 下单 今天 收到
497,还木有用 不知道是不是正品 以后补,还木有用 不知道是不是正品 以后补,还木 有用 不知道是不是正品 以后 补
498,****质量有保证，效率服务都很满意，老婆很喜欢这款面膜.,某品牌 质量有保证 效率服务都很满意 老婆很喜欢这款面膜,某品牌 质量 有 保证 效率 服务 很满意 老婆 很喜欢 款 面膜
499,物流很快，一直用这个牌子，质量很好是正品，活动买的很划算。,物流很快 一直用这个牌子 质量很好是正品 活动买的很划算,物流 很快 一直用 牌子 质量 很好 是正品 活动 买 很划算
500,宝贝已收到，希望是正品，送了两个小样的卸妆水,宝贝已收到 希望是正品 送了两个小样的卸妆水,宝贝 收到 希望是正品 送 两个 小样 卸妆水
501,一直用，感觉不错，赞一个,一直用 感觉不错 赞一个,一直用 感觉不错 赞一个
502,味道淡淡的 水分超足 没有刺激感,味道淡淡的 水分超足 没有刺激感,味道 淡淡的 水分 超足 没有刺激感
503,产品质量好，价格实惠，大品牌值得信赖,产品质量好 价格实惠 大品牌值得信赖,产品质量 好 价格 实惠 大 品牌 值得信赖
504,买了几次了，很好用！经济，实惠！支持**！,买了几次了 很好用 经济 实惠 支持 某品牌,买 几次 很好用 经济 实惠 支持 某品牌
505,用了感觉有酒精味道，但是很快就挥发，我敏感肌肤，用了不过敏，比安耐晒质地清爽，不油腻，而且擦了有提亮肤色现货,用了感觉有酒精味道 但是很快就挥发 我敏感肌肤 用了不过敏 比安耐晒质地清爽 不油腻 而且擦了有提亮肤色现货,用 感觉 有 酒精味道 很快 挥发 敏感 肌肤 用 不过敏 比安 耐晒 质地 清爽 不油腻 而且 擦 有 提亮肤色 现货
506,不错挺好的，价格实惠还有赠品,不错挺好的 价格实惠还有赠品,不错 挺好的 价格 实惠 还有 赠品
507,有史以来买的最垃圾的一次，一点不好用跟二十块钱的产品没什么区别，还望广大网购的朋友们慎重再慎重。,有史以来买的最垃圾的一次 一点不好用跟二十块钱的产品没什么区别 还望广大网购的朋友们慎重再慎重,有史以来 买 最垃圾 一次 一点不好用 跟 二十块 钱 产品 没什么 区别 还 望 广大 网购 朋友 慎重 慎重
508,太好了！**的**产品就是让人买的放心用的舒心！全满分好评！,太好了 某品牌 的 某品牌 产品就是让人买的放心用的舒心 全满分好评,太好了 某品牌 某品牌 产品 人 买 放心 用 舒心 全 满分 好评
509,这个牌子第二次购买了，特别好用补水效果杠杠滴！,这个牌子第二次购买了 特别好用补水效果杠杠滴,牌子 第二次 购买 特别好用 补水效果 杠杠滴
510,很好的，用了白白的，也不油腻,很好的 用了白白的 也不油腻,很好的 用 白白的 不油腻
511,发货快，一如既往的好,发货快 一如既往的好,发货 快 一如既往的好
512,面膜很好用，老婆多次购买了,面膜很好用 老婆多次购买了,面膜 很好用 老婆 多次 购买
513,收货很快，还送了一个替换装，不错?,收货很快 还送了一个替换装 不错,收货 很快 还 送 替换 装 不错
514,价格优惠，泡沫多，洗后不紧绷，特别干净,价格优惠 泡沫多 洗后不紧绷 特别干净,价格 优惠 泡沫 多 洗后 不紧绷 特别干净
515,**发货超快，包装也挺好的，三八女神节拍的，价格实惠，查了验证码，是正品，下次回购。,某品牌 发货超快 包装也挺好的 三八女神节拍的 价格实惠 查了验证码 是正品 下次回购,某品牌 发货 超快 包装 挺好的 三八 女神 节拍 价格 实惠 查 验证码 是正品 下次 回购
516,东西很好，质量不错玩，****用着放心，性价比高，值得购买。,东西很好 质量不错玩 某品牌 用着放心 性价比高 值得购买,东西 很好 质量 不错 玩 某品牌 用 放心 性价比 高 值得 购买
517,质量不错的，帮朋友买的，比实体店便宜不少钱的呀,质量不错的 帮朋友买的 比实体店便宜不少钱的呀,质量 不错的 帮 朋友 买 比 实体店 便宜不少 钱
518,很控油很持妆！就是稍微有点干。颜色也很好。,很控油很持妆 就是稍微有点干 颜色也很好,很控油 很持妆 稍微有点干 颜色 也很好
519,大爱，还是有活动的时候买最合适，一直在用这个品牌，****，我很放心,大爱 还是有活动的时候买最合适 一直在用这个品牌 某品牌 我很放心,大爱 还是 有 活动 时候 买 最合适 一直在用 品牌 某品牌 很放心
520,物流超快，很好和喜欢,物流超快 很好和喜欢,物流 超快 很好 喜欢
521,送货挺快，东西收到了看了看，还没用但愿是正品用了肌肤有所改善,送货挺快 东西收到了看了看 还没用但愿是正品用了肌肤有所改善,送货 挺快 东西 收到 看 看 还 没用 但愿 是正品 用 肌肤 有所改善
522,这是第二次购买了，价格合适，还很好用,这是第二次购买了 价格合适 还很好用,这是 第二次 购买 价格 合适 还 很好用
523,还没用，好评,还没用 好评,还 没用 好评
524,是我喜欢的面膜，真的实惠实用,是我喜欢的面膜 真的实惠实用,喜欢的 面膜 真的 实惠 实用
525,不错 送货速度超快 用了一次 感觉不错,不错 送货速度超快 用了一次 感觉不错,不错 送货速度 超快 用 一次 感觉不错
526,囤货，一直都用的***，相信它,囤货 一直都用的 某品牌 相信它,囤货 一直都用 某品牌 相信
527,用了几片，才来评论，效果还可以,用了几片 才来评论 效果还可以,用 几片 来 评论 效果 还可以
528,收到了 物流很快呢 活动买的很划算哦,收到了 物流很快呢 活动买的很划算哦,收到 物流 很快 活动 买 很划算
529,不怎么样，卡粉，太白，买的已经是最暗的了还是太白,不怎么样 卡粉 太白 买的已经是最暗的了还是太白,不怎么样 卡粉 太白 买 最暗 还是 太白
530,还没开始用，好像还可以,还没开始用 好像还可以,还 没 开始 用 好像 还可以
531,用了2年了性价比高而且好用一如既往的会买这款隔离,用了2年了性价比高而且好用一如既往的会买这款隔离,用 年 性价比 高 而且 好用 一如既往 会 买 这款 隔离
532,凑单，买来粉扑的，挺干净,凑单 买来粉扑的 挺干净,凑单 买来 粉扑 挺干净
533,多次购买，听说用着还不错！,多次购买 听说用着还不错,多次 购买 听说 用 还不错
534,不错，真的好用，用完一点也不油，超清爽的，强烈推荐,不错 真的好用 用完一点也不油 超清爽的 强烈推荐,不错 真的好用 用 完 一点也不油 超清爽的 强烈推荐
535,物流太快了，昨天晚上下单今天中午就到了。一直都在用，很好用,物流太快了 昨天晚上下单今天中午就到了 一直都在用 很好用,物流 太快了 昨天晚上 下单 今天 中午 到 一直 用 很好用
536,老婆说很好很喜欢，继续关注,老婆说很好很喜欢 继续关注,老婆 说 很好 很喜欢 继续 关注
537,宝贝收到了，这个牌子很喜欢，不贵好用的牌子，我一直用它，希望和以前买的一样好用！,宝贝收到了 这个牌子很喜欢 不贵好用的牌子 我一直用它 希望和以前买的一样好用,宝贝 收到 牌子 很喜欢 不贵 好用的 牌子 一直用 希望 以前 买 一样 好用
538,很好。不错。,很好 不错,很好 不错
539,40G真的好小 挺湿润的,40G真的好小 挺湿润的,40G 真的好 小 挺湿润的
540,味道很好闻，就是泡沫有点少，，比较费,味道很好闻 就是泡沫有点少 比较费,味道 很好闻 泡沫 有点少 比较费
541,感觉还不错，喜欢下次还会来光顾,感觉还不错 喜欢下次还会来光顾,感觉 还不错 喜欢 下次 还会来 光顾
542,应该可以，我一直用***，还没折开用，也不知送的什么礼品，等折开用时再评价,应该可以 我一直用 某品牌 还没折开用 也不知送的什么礼品 等折开用时再评价,应该可以 一直用 某品牌 还 没折 开用 不知 送 礼品 等 折 开用 时 评价
543,性价比高，被好评吸引过来，还有赠品，用用再说。,性价比高 被好评吸引过来 还有赠品 用用再说,性价比 高 好评 吸引 过来 还有 赠品 用 用 再说
544,昨天晚上买的 中午就到了 很快,昨天晚上买的 中午就到了 很快,昨天晚上 买 中午 到 很快
545,买了好几次了，补水效果感觉还不错，就是优惠力度感觉没有以前大了！,买了好几次了 补水效果感觉还不错 就是优惠力度感觉没有以前大了,买 好 几次 补水效果 感觉 还不错 优惠力度 感觉 没有 以前 大
546,一直用的***的，这次换换这个***的试试，好评吧！,一直用的 某品牌 的 这次换换这个 某品牌 的试试 好评吧,一直用 某品牌 这次 换换 某品牌 试试 好评
547,还没开始使用，包装很漂亮，60片可以用上一段日子了，等6.18再来囤货。,还没开始使用 包装很漂亮 60片可以用上一段日子了 等6 18再来囤货,还 没 开始 使用 包装 很漂亮 片 可以 用 上 一段 日子 等 再来 囤货
548,挺好的，遮瑕的效果也特别好，特别喜欢，物流也特别快,挺好的 遮瑕的效果也特别好 特别喜欢 物流也特别快,挺好的 遮瑕的效果 特别好 特别喜欢 物流 特别快
549,补水效果不错，物流也很快！一直都用这牌子的东西真的很好用,补水效果不错 物流也很快 一直都用这牌子的东西真的很好用,补水效果 不错 物流 很快 一直都用 牌子 东西 真的很好 用
550,满意，搞活动双十一买的很划算，第一次买这个牌子的面膜，不知道效果怎么样，,满意 搞活动双十一买的很划算 第一次买这个牌子的面膜 不知道效果怎么样,满意 搞 活动 双十一 买 很划算 第一次 买 牌子 面膜 不 知道 效果 怎么样
551,给妹子买的不是很懂，反馈效果说很不错,给妹子买的不是很懂 反馈效果说很不错,妹子 买 不是 很 懂 反馈 效果 说 很不错
552,挺好的呀呀呀呀呀呀呀呀呀呀呀呀,挺好的呀呀呀呀呀呀呀呀呀呀呀呀,挺好的 呀呀 呀呀 呀呀 呀呀 呀呀 呀呀
