id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
720,,,,挺好用,7,10,整体,正面
720,,,,超补水,12,15,功效,正面
721,,,,不错,3,5,整体,正面
722,,,,很好,2,4,整体,正面
723,,,,一般般,3,6,整体,中性
724,清洁能力,0,4,不太好,9,12,功效,负面
725,,,,特别好,0,3,整体,正面
726,,,,还行,0,2,整体,中性
727,,,,很好用,2,5,整体,正面
727,,,,很服帖,8,11,使用体验,正面
728,,,,挺好的,0,3,整体,正面
728,,,,好评,12,14,整体,正面
728,价格,4,6,便宜,6,8,价格,正面
728,,,,量又足,8,11,其他,正面
729,,,,掉皮,16,18,使用体验,负面
730,,,,很好用,2,5,整体,正面
731,,,,超级好用,0,4,整体,正面
731,补水,11,13,强,14,15,功效,正面
731,,,,大爱,16,18,整体,正面
732,物流,5,7,特别快,7,10,物流,正面
732,纸质,11,13,不错,13,15,其他,正面
732,活动价,20,23,,,,价格,正面
733,,,,比较优惠,8,12,价格,正面
734,,,,挺好的,8,11,整体,正面
734,,,,不会过敏,12,16,使用体验,正面
734,,,,赞,17,18,整体,正面
735,,,,挺好的,0,3,整体,正面
735,味道,4,6,闻着不错,6,10,气味,正面
736,,,,红肿,9,11,使用体验,负面
736,,,,痒,13,14,使用体验,负面
736,,,,假的,34,36,真伪,负面
737,,,,很好,7,9,整体,正面
738,,,,很舒服,2,5,使用体验,正面
739,,,,不错,4,6,整体,正面
739,,,,好,0,1,整体,正面
740,,,,还不错,2,5,整体,正面
741,,,,水润,5,7,使用体验,正面
741,,,,保湿,7,9,功效,正面
741,,,,很好,10,12,整体,正面
742,,,,不错,0,2,整体,正面
742,速度,4,6,很快,6,8,物流,正面
743,,,,还不错,0,3,整体,正面
743,,,,有点薄,5,8,使用体验,负面
744,价格,12,14,,,,价格,正面
744,,,,不错,17,19,整体,正面
744,,,,喜欢,20,22,整体,正面
745,,,,很舒服,5,8,整体,正面
745,,,,挺滋润,14,17,使用体验,正面
745,,,,不错,20,22,整体,正面
746,,,,挺好的,0,3,整体,正面
746,,,,不怎么白,17,21,功效,负面
746,,,,很滋润,4,7,使用体验,正面
746,,,,效果不是很明显,24,31,整体,负面
747,上妆,0,2,贴合皮肤,2,6,使用体验,正面
747,,,,自然,7,9,功效,正面
747,,,,不假面,10,13,功效,正面
748,,,,有美白效果,7,12,功效,正面
748,,,,很好用,0,3,整体,正面
749,服务,18,20,一流,20,22,服务,正面
749,,,,挺迅速的,9,13,物流,正面
750,,,,有点油,6,9,使用体验,负面
751,保湿效果,15,19,很不错,21,24,功效,正面
751,活动,27,29,,,,价格,正面
751,,,,挺好的,32,35,整体,正面
752,快递,19,21,很给力,22,25,物流,正面
752,,,,好用,11,13,整体,正面
753,,,,太超值,14,17,价格,正面
753,,,,很服帖,19,22,使用体验,正面
753,,,,很补水,23,26,功效,正面
753,味道,27,29,喜欢,30,32,气味,正面
754,,,,特别好用,6,10,整体,正面
754,,,,划算,12,14,价格,正面
755,,,,特别好,11,14,整体,正面
756,,,,还不错,0,3,整体,正面
757,味道,0,2,有点点膳,2,6,气味,负面
757,,,,听湿润,7,10,使用体验,正面
757,,,,有点白,19,22,功效,负面
757,,,,挺好,30,32,整体,正面
758,,,,好好用,0,3,整体,正面
758,,,,很划算,5,8,价格,正面
759,价格,0,2,实惠,2,4,价格,正面
759,物流,5,7,快,7,8,物流,正面
760,发货速度,0,4,挺快的,4,7,物流,正面
760,价格,8,10,便宜,10,12,价格,正面
761,送货,5,7,快,7,8,物流,正面
762,物流,5,7,快,7,8,物流,正面
763,,,,挺好用,5,8,整体,正面
763,,,,挺不错的,0,4,整体,正面
764,,,,非常满意,0,4,整体,正面
764,服务,11,13,很好,14,16,服务,正面
764,服务,11,13,很耐心,17,20,服务,正面
765,,,,很好,4,6,整体,正面
766,,,,物有所值,0,4,整体,正面
766,,,,很不错,7,10,整体,正面
767,,,,不错,2,4,整体,正面
768,,,,不错,0,2,整体,正面
768,,,,喜欢,3,5,整体,正面
769,物流,27,29,特别快,29,32,物流,正面
769,,,,好评,33,35,整体,正面
770,,,,很喜欢,2,5,整体,正面
771,,,,还可以,5,8,整体,正面
772,补水,4,6,不错,6,8,功效,正面
773,包装,0,2,精美,2,4,包装,正面
773,天猫直送,5,9,很给力,9,12,物流,正面
774,,,,是正品,6,9,真伪,正面
775,,,,很好,8,10,整体,正面
775,物流服务,26,30,好,31,32,物流,正面
775,物流服务,26,30,快,33,34,物流,正面
776,,,,滋润,13,15,使用体验,正面
776,精华,16,18,特别多,18,21,成分,正面
776,快递小哥态度,38,44,很好,44,46,物流,正面
777,,,,很好用,2,5,整体,正面
777,,,,很满意,16,19,整体,正面
778,,,,还不错,6,9,整体,正面
779,,,,真的好,0,3,整体,正面
780,物流,0,2,给力,2,4,物流,正面
780,效果,5,7,比想像的要好,7,13,功效,正面
781,,,,还不错,2,5,整体,正面
781,,,,超出预期,6,10,整体,正面
781,,,,很满意,11,14,整体,正面
781,,,,划算,19,21,价格,正面
782,,,,水水的,7,10,使用体验,正面
782,,,,很舒服,10,13,使用体验,正面
782,活动,23,25,超划算,25,28,价格,正面
783,,,,挺好用的,0,4,整体,正面
783,,,,不油,4,6,使用体验,正面
783,,,,很清爽,6,9,使用体验,正面
783,小礼品,13,16,,,,价格,正面
783,,,,很好用,19,22,整体,正面
784,,,,很可爱,0,3,整体,正面
784,,,,很喜欢,5,8,整体,正面
785,,,,不错,2,4,整体,正面
786,,,,是正品,3,6,真伪,正面
787,物流,0,2,很快,2,4,物流,正面
787,,,,不错,9,11,整体,正面
787,,,,很喜欢,12,15,整体,正面
788,,,,超级好用,8,12,整体,正面
788,,,,很不错,13,16,整体,正面
789,包装,19,21,精美,21,23,包装,正面
789,,,,非常好,0,3,整体,正面
789,,,,没毛病,11,14,整体,正面
789,,,,效果好,15,18,整体,正面
789,,,,真的很好,43,47,整体,正面
790,,,,特别好用,0,4,整体,正面
790,,,,不错,16,18,整体,正面
791,,,,很满意,9,12,整体,正面
792,赠品,8,10,,,,其他,负面
793,,,,很好,11,13,整体,正面
794,,,,好用,5,7,整体,正面
794,,,,超喜欢,28,31,整体,正面
795,,,,快,12,13,物流,正面
796,颜色,17,19,有点暗,19,22,功效,正面
796,,,,还好,25,27,整体,正面
797,,,,是正品,8,11,真伪,正面
797,,,,非常喜欢,12,16,整体,正面
798,,,,一般,2,4,整体,中性
799,,,,非常滋润,2,6,使用体验,正面
799,保湿,11,13,,,,功效,正面
799,补水,13,15,,,,功效,正面
800,,,,还不错,0,3,整体,正面
801,,,,不错,0,2,整体,正面
802,,,,没过敏,2,5,使用体验,正面
803,物流,0,2,还不错,2,5,物流,正面
803,小哥服务态度,6,12,好,12,13,物流,正面
804,,,,还可以,0,3,整体,正面
805,,,,还好,0,2,整体,中性
806,,,,很不错,2,5,整体,正面
806,,,,很好用,6,9,整体,正面
807,包装,0,2,很好,2,4,包装,正面
807,,,,很喜欢,7,10,整体,正面
808,,,,不错,3,5,整体,正面
808,,,,不紧绷,9,12,使用体验,正面
808,泡沫,13,15,细腻,15,17,使用体验,正面
809,,,,很喜欢,2,5,整体,正面
810,,,,浮粉,17,19,使用体验,负面
811,,,,挺温和的,0,4,使用体验,正面
811,,,,不刺激,5,8,使用体验,正面
811,,,,很香,10,12,气味,正面
812,补水,13,15,很好,15,17,功效,正面
812,,,,很赞,18,20,整体,正面
813,,,,蛮不错,12,15,整体,正面
814,物流,4,6,很快,6,8,物流,正面
815,物流速度,0,4,有点慢,4,7,物流,正面
816,,,,不错,2,4,整体,正面
816,,,,薄,5,6,使用体验,正面
816,,,,服帖,7,9,使用体验,正面
817,赠品,0,2,非常不错,2,6,价格,正面
817,,,,很好用,7,10,价格,正面
818,,,,很不错,4,7,整体,正面
819,,,,不错,4,6,整体,正面
820,,,,好用,0,2,整体,正面
820,,,,很喜欢,20,23,整体,正面
820,,,,不贵,26,28,价格,正面
821,,,,还不错,4,7,整体,正面
822,,,,还可以,2,5,整体,正面
823,物流,16,18,超快,18,20,物流,正面
823,,,,挺好用,11,14,整体,正面
824,,,,好评,0,2,整体,正面
824,,,,很贴脸,5,8,使用体验,正面
825,,,,不错,8,10,整体,正面
825,,,,正品,33,35,真伪,正面
826,,,,很好用,10,13,整体,正面
827,,,,不够细腻,7,11,使用体验,正面
827,,,,一片一片的,12,17,使用体验,正面
827,,,,浮粉,21,23,使用体验,正面
828,,,,蛮轻薄的,2,6,使用体验,正面
828,,,,很服帖,8,11,使用体验,正面
828,透气性,12,15,比较好,15,18,使用体验,正面
828,,,,水分还可以,30,35,使用体验,正面
828,,,,总体满意,36,40,整体,正面
829,,,,最喜欢,2,5,整体,正面
830,效果,0,2,一点不好,2,6,功效,负面
830,效果,0,2,洗不净,7,10,功效,负面
830,,,,比较油,16,19,使用体验,负面
831,优惠活动,13,17,很给力,17,20,价格,正面
831,,,,很不错,0,3,整体,正面
831,客服态度,21,25,也很好,25,28,服务,正面
831,,,,很喜欢,7,10,整体,正面
832,活动,3,5,,,,价格,正面
833,活动,13,15,,,,价格,正面
833,,,,物美价廉,22,26,价格,正面
834,,,,可以,0,2,整体,正面
835,,,,还好,2,4,整体,正面
835,性价比,15,18,很高,18,20,价格,正面
836,,,,很水润,8,11,使用体验,正面
837,,,,挺好的,8,11,整体,中性
837,,,,很轻薄,23,26,使用体验,正面
837,,,,很好的,29,32,整体,正面
838,,,,还行,2,4,整体,正面
839,,,,好看,6,8,整体,正面
839,,,,方便,8,10,使用体验,正面
839,,,,干净,13,15,功效,正面
840,,,,很棒,9,11,整体,正面
840,,,,很自然,12,15,功效,正面
840,,,,不加白,16,19,功效,正面
841,物流,19,21,快,22,23,物流,正面
841,,,,好用,14,16,整体,正面
841,,,,便宜,11,13,价格,正面
842,,,,还不错,2,5,整体,正面
843,,,,还可以,0,3,整体,正面
843,,,,没什么过敏,10,15,使用体验,正面
843,,,,比较服帖,16,20,使用体验,正面
844,,,,一般,2,4,整体,中性
845,,,,挺好,3,5,整体,正面
845,,,,白的自然,13,17,功效,正面
846,,,,非常满意,11,15,整体,正面
846,,,,很好,8,10,整体,正面
847,快递小哥,29,33,,,,物流,正面
847,,,,不错,0,2,整体,正面
848,,,,很自然,6,9,功效,正面
849,速度,16,18,快,18,19,物流,正面
850,包装,2,4,,,,整体,正面
851,,,,不是很好用,12,17,整体,负面
852,,,,好用,0,2,整体,正面
853,,,,挺喜欢,10,13,整体,正面
853,,,,好,22,23,整体,正面
854,,,,赞,0,1,整体,正面
855,,,,好评,0,2,整体,正面
855,物流,3,5,出乎意外的快,6,12,物流,正面
855,,,,赞,13,14,整体,正面
856,,,,保湿,10,12,功效,正面
856,,,,不干,12,14,使用体验,正面
856,,,,经济,15,17,价格,正面
856,,,,实惠,17,19,价格,正面
857,,,,很实惠,0,3,价格,正面
858,价格,16,18,实惠,18,20,价格,正面
858,,,,挺好的,0,3,整体,正面
859,,,,很好,0,2,整体,正面
860,,,,超好用,0,3,整体,正面
860,,,,很水润,3,6,使用体验,正面
861,,,,划算,28,30,价格,正面
862,,,,可以,0,2,整体,正面
862,,,,美美哒,3,6,整体,正面
863,,,,很滋润,13,16,使用体验,正面
864,,,,好,6,7,整体,正面
864,,,,太棒了,0,3,整体,正面
865,送货,0,2,快,2,3,物流,正面
865,服务,4,6,好,6,7,服务,正面
865,,,,非常棒,8,11,整体,正面
866,赠品,7,9,还可以,11,14,价格,正面
867,,,,挺好用的,4,8,整体,正面
867,,,,不厚重,9,12,使用体验,正面
867,,,,提亮肤色,13,17,功效,正面
867,味道,18,20,不错,20,22,气味,正面
868,,,,不错,0,2,整体,正面
868,,,,很喜欢,8,11,整体,正面
869,味道,5,7,淡淡的,7,10,气味,正面
869,,,,还行,2,4,整体,正面
870,,,,不油腻,0,3,使用体验,正面
871,,,,不错,2,4,整体,正面
871,,,,很满意,5,8,整体,正面
872,香味,12,14,,,,气味,正面
872,,,,挺好,2,4,整体,正面
872,,,,自然白,6,9,功效,正面
873,,,,正品,3,5,真伪,正面
873,,,,便宜很多,17,21,价格,正面
874,,,,是正品,6,9,真伪,正面
874,,,,很好用,10,13,整体,正面
874,快递,14,16,很给力,16,19,物流,正面
875,价格,11,13,不高,13,15,价格,正面
876,快递,2,4,超级快,4,7,物流,正面
876,,,,是正品,8,11,真伪,正面
877,,,,棒棒哒,19,22,整体,正面
877,,,,非常好用,7,11,整体,正面
877,,,,不油腻,15,18,使用体验,正面
877,,,,很有用,3,6,整体,正面
878,,,,棒棒的,11,14,整体,正面
879,活动,6,8,,,,价格,正面
879,颜色,13,15,很自然,15,18,功效,正面
879,,,,喜欢,26,28,整体,正面
880,,,,方便,3,5,整体,正面
880,上妆,6,8,很快,8,10,功效,正面
880,,,,很轻薄,11,14,使用体验,正面
880,,,,还可以,19,22,整体,正面
881,味道,3,5,太刺鼻,5,8,气味,负面
881,塑料味,10,13,太浓,13,15,气味,负面
882,,,,很不错,2,5,整体,正面
882,补水,6,8,挺好的,8,11,功效,正面
882,价格,12,14,很实惠,15,18,价格,正面
882,,,,很好用,27,30,整体,正面
883,,,,特别快,15,18,物流,正面
883,,,,很满意,19,22,整体,正面
884,遮瑕效果,0,4,超级好,4,7,功效,正面
884,,,,很亮,8,10,功效,正面
884,,,,很白,11,13,功效,正面
884,,,,很喜欢,14,17,整体,正面
885,物流,0,2,很快,2,4,物流,正面
885,,,,很好,11,13,整体,正面
886,,,,棒棒,9,11,整体,正面
887,物流,6,8,超快,8,10,物流,正面
887,价格,11,13,相当实惠,13,17,价格,正面
887,,,,很好,29,31,整体,正面
887,,,,干净,32,34,功效,正面
888,,,,非常好,28,31,整体,正面
889,,,,还可以,2,5,整体,正面
889,味道,13,15,清香,15,17,气味,正面
890,,,,很不错,2,5,整体,正面
890,,,,物有所值,6,10,整体,正面
891,保湿效果,0,4,还不错,4,7,功效,正面
892,补水,0,2,还行,2,4,功效,正面
892,,,,很便宜,5,8,价格,正面
893,,,,挺好的,12,15,整体,正面
893,赠品,19,21,,,,价格,正面
893,,,,非常满意,22,26,整体,正面
894,美白效果,0,4,不是太明显,4,9,功效,负面
894,价格,12,14,挺实惠的,14,18,价格,正面
894,,,,挺好的,39,42,整体,正面
894,,,,棒棒哒,43,46,整体,正面
895,,,,不错,2,4,整体,正面
896,,,,刺痛,21,23,使用体验,负面
896,,,,假的,24,26,真伪,负面
897,,,,好评,0,2,整体,正面
897,,,,不错,5,7,整体,正面
898,清洁效果,0,4,很好,4,6,功效,正面
898,,,,方便,7,9,整体,正面
898,,,,快捷,9,11,整体,正面
899,,,,不会差,6,9,整体,正面
900,,,,真心好用,7,11,整体,正面
900,保湿效果,12,16,好,16,17,功效,正面
900,,,,很贴肤,18,21,使用体验,正面
900,,,,很细腻,22,25,使用体验,正面
900,客服态度,33,37,好,16,17,服务,正面
901,,,,不错,9,11,整体,正面
902,赠品,0,2,,,,价格,正面
903,,,,可以,0,2,整体,正面
903,,,,还好,31,33,整体,正面
903,,,,干不干净,24,28,功效,中性
904,,,,不错,2,4,整体,正面
905,,,,还好,20,22,整体,正面
905,,,,挺小的,2,5,尺寸,负面
906,,,,不卡粉,3,6,使用体验,正面
906,,,,自然,0,2,功效,正面
906,,,,很接近肤色,7,12,功效,正面
906,,,,满意,13,15,整体,正面
907,送货速度,10,14,快,14,15,物流,正面
907,,,,很好,2,4,整体,正面
908,,,,不错,7,9,整体,正面
909,,,,挺好用的,0,4,整体,正面
910,,,,太不好,2,5,功效,负面
911,,,,应该不错的,9,14,整体,正面
912,,,,好用,3,5,整体,正面
913,,,,真的好用,2,6,整体,正面
914,,,,挺好用的,6,10,整体,正面
915,,,,还好,0,2,整体,正面
916,持久情况,8,12,还可以,13,16,功效,正面
916,,,,有点黏,17,20,使用体验,负面
917,清洁效果,5,9,好,9,10,功效,正面
918,,,,淡淡的香味,0,5,气味,正面
918,保湿效果,6,10,挺好,10,12,功效,正面
918,,,,容易吸收,13,17,使用体验,正面
919,,,,挺细腻的,9,13,使用体验,正面
919,,,,提亮肤色,18,22,功效,正面
920,,,,还行吧,24,27,整体,中性
921,,,,不错,0,2,整体,正面
921,,,,好自然,14,17,功效,正面
922,,,,很好用,0,3,整体,正面
922,,,,清透,4,6,使用体验,正面
922,,,,湿润,6,8,使用体验,正面
922,,,,提亮肤色,9,13,功效,正面
923,,,,很好,0,2,整体,正面
923,,,,物美价廉,2,6,价格,正面
924,快递大哥,19,23,人很好,23,26,物流,正面
924,快递大哥,19,23,好评,40,42,物流,正面
925,效果,0,2,不错,2,4,功效,正面
925,,,,有点稠,7,10,使用体验,中性
926,,,,很不错,0,3,整体,正面
926,精华,18,20,多,20,21,成分,正面
927,快递速度,0,4,很快,4,6,物流,正面
927,服务态度,7,11,很好,11,13,物流,正面
928,包装盒,0,3,太简陋了,8,12,整体,负面
928,服务,38,40,太差了,40,43,服务,负面
928,,,,很旧,20,22,包装,负面
928,,,,被骗了,25,28,整体,负面
929,,,,还行,0,2,整体,正面
929,,,,还好,13,15,整体,正面
930,,,,超级划算,0,4,价格,正面
931,,,,不错,12,14,整体,正面
932,,,,都说好,18,21,整体,正面
933,,,,太假了,0,3,整体,负面
933,,,,会掉粉,3,6,使用体验,负面
933,,,,起皮,7,9,使用体验,负面
933,,,,失望,20,22,整体,负面
934,,,,不错,14,16,整体,正面
935,,,,很好,7,9,整体,正面
935,,,,很喜欢,10,13,整体,正面
936,,,,很好,14,16,整体,正面
936,,,,很好看,7,10,整体,正面
937,,,,还不错,8,11,整体,正面
938,,,,很显白,2,5,功效,正面
938,,,,挺好,9,11,整体,正面
939,,,,不错,5,7,整体,正面
940,,,,还可以,2,5,整体,正面
940,,,,不过敏,6,9,使用体验,正面
941,,,,很好用,0,3,整体,正面
941,补水,9,11,很好用,0,3,功效,正面
941,,,,便宜,15,17,价格,正面
941,,,,优惠,17,19,价格,正面
942,,,,还可以,12,15,整体,正面
943,,,,是正品,0,3,真伪,正面
943,活动,4,6,划算,6,8,价格,正面
944,,,,挺不错的,0,4,整体,正面
944,,,,很轻薄,5,8,使用体验,正面
945,吸收,29,31,挺好,31,33,使用体验,正面
945,美白,21,23,没有感觉,15,19,功效,负面
945,淡斑,40,42,没感觉到,44,48,功效,负面
945,保湿,63,65,可以,67,69,功效,正面
946,,,,不错,5,7,整体,正面
947,,,,很舒服,11,14,使用体验,正面
947,,,,润润的,15,18,使用体验,正面
947,,,,棒棒哒,18,21,整体,正面
948,,,,不错,4,6,整体,正面
949,,,,滑滑的,3,6,使用体验,正面
950,,,,超级滋润,33,37,使用体验,正面
950,,,,很服帖,43,46,使用体验,正面
950,,,,是正品,0,3,真伪,正面
951,味道,5,7,清新,7,9,气味,正面
951,,,,还不错,10,13,整体,正面
951,,,,不油腻,15,18,使用体验,正面
952,,,,是不是真品,7,12,真伪,中性
953,送货,4,6,快,6,7,物流,正面
954,,,,还不错,0,3,整体,正面
954,美容液,4,7,比较丰富,7,11,成分,正面
954,尺寸大小,19,23,合适,23,25,尺寸,正面
954,,,,非常服帖,26,30,使用体验,正面
954,价格,33,35,不贵,36,38,价格,正面
954,,,,滑滑的,12,15,使用体验,正面
955,,,,好评,26,28,整体,正面
955,物流,4,6,很给力,6,9,物流,正面
955,快递员态度,10,15,很好,15,17,物流,正面
955,,,,还好吧,0,3,整体,正面
956,,,,超级好用,0,4,整体,正面
956,,,,很喜欢,7,10,整体,正面
957,包装,15,17,完好,17,19,包装,正面
957,,,,还行,29,31,整体,正面
957,清洁能力,32,36,洗不干净,37,41,功效,负面
957,,,,不推荐,42,45,整体,负面
958,,,,垃圾,0,2,物流,负面
959,面膜液,4,7,没有多少,0,4,成分,负面
959,,,,差了很多,13,17,整体,负面
960,,,,挺好的,0,3,整体,正面
960,物流,7,9,有点慢,9,12,物流,正面
961,价格,4,6,非常合适,6,10,价格,正面
961,,,,跟舒服,16,19,整体,正面
961,,,,喜欢,11,13,整体,正面
962,水分,0,2,多,2,3,成分,正面
962,速度,4,6,快,6,7,物流,正面
962,,,,挺好的,7,10,整体,正面
963,,,,挺好的,13,16,整体,正面
963,,,,挺服帖的,17,21,使用体验,正面
964,,,,不错,13,15,整体,正面
964,,,,挺好的,16,19,整体,正面
965,,,,非常好用,2,6,整体,正面
965,,,,比较滋润,18,22,使用体验,正面
966,,,,很喜欢,12,15,整体,正面
967,,,,是正品,20,23,真伪,正面
967,,,,不会刺痛,33,37,使用体验,正面
967,,,,不刺激,24,27,使用体验,正面
968,,,,非常的不错,0,5,整体,正面
968,,,,很自然,17,20,功效,正面
969,,,,很好,0,2,整体,正面
969,味道,3,5,很好,0,2,气味,正面
969,,,,很不错,13,16,整体,正面
969,,,,超级喜欢,17,21,整体,正面
970,味道,15,17,很好,17,19,气味,正面
970,卖家,25,27,好有爱,27,30,服务,正面
971,,,,很满意,7,10,整体,正面
971,,,,服贴,11,13,使用体验,正面
971,,,,不卡粉,13,16,使用体验,正面
971,,,,很好,17,19,整体,正面
972,,,,挺好的,3,6,整体,正面
972,,,,不错,0,2,整体,正面
973,赠品,0,2,很好,2,4,整体,正面
973,,,,好,10,11,整体,正面
973,,,,补水,5,7,功效,正面
973,,,,美白,7,9,功效,正面
974,,,,还行吧,0,3,整体,正面
974,,,,有点干,8,11,使用体验,负面
974,,,,还行,21,23,整体,正面
975,,,,挺好用的,19,23,整体,正面
976,快递,11,13,特别给力,6,10,物流,正面
977,,,,更好,10,12,整体,正面
978,,,,蛮好的,0,3,整体,正面
978,,,,划算,4,6,价格,正面
979,,,,水水润润的,18,23,使用体验,正面
979,,,,实惠,25,27,价格,正面
979,,,,很不错,31,34,整体,正面
980,,,,好用,4,6,整体,正面
980,,,,不油腻,0,3,使用体验,正面
981,,,,非常不错,9,13,整体,正面
981,发货,15,17,非常给力,18,22,物流,正面
981,,,,赞一下,24,27,整体,正面
982,,,,正品,9,11,真伪,正面
982,,,,还不错,0,3,整体,正面
982,,,,挺好用的,4,8,整体,正面
983,,,,有点白,8,11,功效,负面
983,,,,挺保湿,14,17,功效,正面
984,,,,不错,6,8,整体,正面
985,价格,16,18,合适,19,21,价格,正面
985,,,,很好用,7,10,整体,正面
986,,,,很不错,0,3,整体,正面
986,包装,7,9,比较好,9,12,包装,正面
986,,,,很喜欢,13,16,整体,正面
986,,,,有点小,31,34,尺寸,负面
987,,,,不错,8,10,整体,正面
987,,,,很便宜,12,15,价格,正面
988,,,,超级喜欢,0,4,整体,正面
988,,,,微微一点白,5,10,功效,正面
988,,,,薄薄的,11,14,使用体验,正面
988,,,,很舒服,14,17,使用体验,正面
989,,,,是正品,2,5,真伪,正面
989,质量,7,9,棒棒哒,9,12,其他,正面
989,服务,16,18,棒,23,24,物流,正面
989,物流,19,21,棒,23,24,物流,正面
990,,,,很好,0,2,整体,正面
990,,,,喜欢,5,7,整体,正面
991,,,,很舒服,4,7,使用体验,正面
991,,,,很清爽,8,11,使用体验,正面
991,,,,水水的,0,3,使用体验,正面
992,,,,非常好,0,3,整体,正面
992,,,,很喜欢,4,7,整体,正面
992,,,,细腻,8,10,使用体验,正面
992,,,,不油腻,10,13,使用体验,正面
992,,,,很好用,14,17,整体,正面
993,味道,9,11,很好闻,11,14,气味,正面
993,上妆效果,15,19,很好,19,21,功效,正面
994,赠品,17,19,好多,19,21,价格,正面
994,包装,21,23,挺好,23,25,包装,正面
994,,,,非常棒,5,8,整体,正面
994,,,,经济实惠,9,13,价格,正面
995,,,,贵,0,1,价格,负面
996,,,,好评,9,11,整体,正面
996,,,,不错,6,8,整体,正面
997,,,,还好,16,18,整体,正面
998,,,,假的,1,3,真伪,负面
999,,,,没有多大效果,8,14,整体,中性
1000,,,,非常满意,13,17,整体,正面
1000,,,,很喜欢,18,21,整体,正面
1000,态度,22,24,好,24,25,服务,正面
1000,物流,26,28,特别快,29,32,物流,正面
1001,,,,很好,8,10,功效,正面
1001,,,,是正品,11,14,真伪,正面
1002,保湿,3,5,,,,功效,中性
1003,,,,很划算,17,20,价格,正面
1003,味道,29,31,很好闻,31,34,气味,正面
1003,味道,29,31,很自然,35,38,气味,正面
1004,赠品,7,9,,,,价格,正面
1004,,,,希望是正品,10,15,真伪,中性
1005,,,,还可以,2,5,整体,正面
1006,,,,很服帖,0,3,使用体验,正面
1006,精华液,4,7,多,8,9,成分,正面
1006,,,,滑滑的,14,17,使用体验,正面
1006,,,,嫩嫩的,17,20,使用体验,正面
1007,,,,还不错,0,3,整体,正面
1007,,,,挺清爽的,9,13,使用体验,正面
1007,包装,4,6,完整,6,8,包装,正面
1008,物流,13,15,常快,16,18,物流,正面
1008,商家服务,19,23,好,23,24,服务,正面
1008,,,,非常喜欢,0,4,整体,正面
1008,,,,物超所值,5,9,整体,正面
1008,,,,超赞,10,12,整体,正面
1009,,,,粘稠些,29,32,使用体验,正面
1009,,,,挺好用的,34,38,整体,正面
1009,,,,很好推开,40,44,使用体验,正面
1009,,,,好评,45,47,整体,正面
1010,泡沫,5,7,适中,7,9,使用体验,正面
1010,清洁能力,0,4,有一定的,18,22,功效,正面
1010,,,,非常舒适,10,14,整体,正面
1011,服务态度,15,19,很好,19,21,服务,正面
1011,,,,还好,12,14,整体,正面
1011,,,,不错,0,2,整体,正面
1012,发货速度,0,4,非常快,4,7,物流,正面
1012,,,,正品,8,10,真伪,正面
1012,,,,五星好评,19,23,整体,正面
1013,包装,5,7,,,,包装,正面
1013,补水效果,35,39,不错,39,41,功效,正面
1014,包装,6,8,很细心,9,12,包装,正面
1015,快递,0,2,挺给力,2,5,物流,正面
1016,,,,非常好用,0,4,整体,正面
1016,,,,喜欢,5,7,整体,正面
1017,,,,挺好用的,0,4,整体,正面
1017,颜色,5,7,比较均匀,7,11,功效,正面
1018,,,,好评,6,8,整体,正面
1018,,,,挺舒服的,13,17,使用体验,正面
1018,,,,满意,0,2,整体,正面
1019,,,,还可以,12,15,整体,正面
1020,遮暇效果,0,4,很好,4,6,功效,正面
1020,美白效果,7,11,不错,12,14,功效,正面
1020,味道,17,19,有点太香,19,23,气味,负面
1021,,,,不错,8,10,整体,正面
1021,,,,不刺激,40,43,使用体验,正面
1022,,,,好很多,16,19,整体,正面
1022,,,,很好用,0,3,整体,正面
1022,,,,很服帖,3,6,使用体验,正面
1023,包装,0,2,很好,2,4,包装,正面
1023,,,,没有破损,8,12,包装,正面
1023,物流,13,15,很快,15,17,物流,正面
1024,,,,挺好用的,2,6,整体,正面
1024,,,,不紧绷,10,13,使用体验,正面
1025,,,,不错,7,9,整体,正面
1026,,,,好用,7,9,整体,正面
1027,,,,保湿,39,41,功效,正面
1027,,,,提亮,41,43,功效,正面
1027,,,,清洁,43,45,功效,正面
1027,,,,收缩毛孔,45,49,功效,正面
1027,,,,补水,37,39,功效,正面
1028,,,,挺好的,16,19,整体,正面
1028,,,,挺喜欢,20,23,整体,正面
1029,,,,物有所值,12,16,整体,正面
1030,物流,0,2,很快,2,4,物流,正面
1031,补水效果,11,15,不错,2,4,功效,正面
1031,大小,5,7,合适,8,10,尺寸,正面
1031,,,,不错,2,4,整体,正面
1032,,,,一般,4,6,整体,中性
1032,,,,太厚,11,13,其他,负面
1033,香味,6,8,淡淡的,3,6,气味,正面
1033,,,,很好用,9,12,整体,正面
1033,保湿效果,12,16,不错,16,18,功效,正面
1034,,,,补水,4,6,功效,正面
1034,,,,好用,2,4,整体,正面
1035,,,,还不错,7,10,整体,正面
1035,,,,挺通透的,11,15,使用体验,正面
1036,,,,满意,15,17,整体,正面
1037,,,,很喜欢,10,13,整体,正面
1038,,,,挺好的,2,5,整体,正面
1039,,,,很满意,7,10,整体,正面
1040,物流,8,10,非常快,10,13,物流,正面
1040,包装,14,16,很好,16,18,包装,正面
1041,活动,21,23,,,,价格,正面
1041,,,,还不错,6,9,整体,正面
